GO_name,GO_term,GO_definition
regulation of termination of RNA polymerase I transcription,GO:2000730,"Any process that modulates the frequency, rate or extent of termination of RNA polymerase I transcription."
cell aggregation,GO:0098743,The clustering together and adhesion of initially separate cells to form an aggregate.  Examples include the clustering of unicellular organisms or blood cells in suspension and the condensation of mesenchymal cells during cartilage formation.
positive regulation of transcription involved in exit from mitosis,GO:0007072,"Any process that increases the frequency, rate or extent of transcription as the cell leaves M phase. M phase is the part of the mitotic cell cycle during which mitosis and cytokinesis take place."
regulation of transcription of nucleolar large rRNA by RNA polymerase I,GO:1901836,"Any process that modulates the frequency, rate or extent of transcription of nuclear large rRNA mediated by RNA polymerase I."
response to G1 DNA damage checkpoint signaling,GO:0072432,A process that occurs in response to signals generated as a result of G1/S transition DNA damage checkpoint signaling.
positive regulation of chaperone-mediated autophagy,GO:1904716,"Any process that activates or increases the frequency, rate or extent of chaperone-mediated autophagy."
T-helper 17 cell chemotaxis,GO:0035705,The directed movement of a T-helper 17 cell in response to an external stimulus.
negative regulation of eosinophil degranulation,GO:0043310,"Any process that stops, prevents, or reduces the rate of eosinophil degranulation."
leukocyte adhesion to vascular endothelial cell,GO:0061756,The attachment of a leukocyte to vascular endothelial cell via adhesion molecules.
inflammatory response to wounding,GO:0090594,The immediate defensive reaction by vertebrate tissue to injury caused by chemical or physical agents.
"positive regulation of CD8-positive, alpha-beta T cell extravasation",GO:2000451,"Any process that activates or increases the frequency, rate or extent of CD8-positive, alpha-beta T cell extravasation."
positive regulation of astrocyte chemotaxis,GO:2000464,"Any process that activates or increases the frequency, rate or extent of astrocyte chemotaxis."
positive regulation of DNA catabolic process,GO:1903626,"Any process that activates or increases the frequency, rate or extent of DNA catabolic process."
regulation of cellular response to gamma radiation,GO:1905843,"Any process that modulates the frequency, rate or extent of cellular response to gamma radiation."
signal transduction involved in mitotic G2 DNA damage checkpoint,GO:0072434,A signal transduction process that contributes to a mitotic G2/M transition DNA damage checkpoint.
protein depalmitoleylation,GO:1990697,"The removal of palmitoleyl group, a 16-carbon monounsaturated fatty acid (C16:1), from a lipoprotein."
negative regulation of protein localization to ciliary membrane,GO:1903568,"Any process that stops, prevents or reduces the frequency, rate or extent of protein localization to ciliary membrane."
siderophore-dependent iron import into cell,GO:0033214,"A process in which iron (Fe3+) is solubilized by ferric iron-specific chelators, known as siderophores, excreted by a cell; the iron-siderophore complex is then transported into the cell by specific cell surface receptors."
negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,GO:2000308,"Any process that stops, prevents or reduces the frequency, rate or extent of tumor necrosis factor (ligand) superfamily member 11 production."
regulation of phospholipid catabolic process,GO:0060696,"Any process that modulates the rate, frequency, or extent of phospholipid catabolism, the chemical reactions and pathways resulting in the breakdown of phospholipids, any lipid containing phosphoric acid as a mono- or diester."
regulation of mitochondrial fusion,GO:0010635,"Any process that modulates the frequency, rate or extent of merging of two or more mitochondria within a cell to form a single compartment."
positive regulation of fat cell proliferation,GO:0070346,Any process that activates or increases the rate or extent of fat cell proliferation.
cerebellar granular layer morphogenesis,GO:0021683,"The process in which the anatomical structure of the cerebellar granular layer is generated and organized. The granular layer is the innermost layer of the cerebellar cortex. This layer contains densely packed small neurons, mostly granule cells. Some Golgi cells are found at the outer border. Granule neurons send parallel fibers to the upper molecular layer, where they synapse with Purkinje cell dendrites. Mossy fibers from the pontine nuclei in the white matter synapse with granule cell axons, Golgi cell axons and unipolar brush interneuron axons at cerebellar glomeruli in the granule cell layer."
mating plug formation,GO:0042628,The deposition of a plug of sperm or other gelatinous material into the opening of the vulva by a male at the termination of copulation. Probably acts to prevent subsequent matings by other males.
seminal vesicle epithelium development,GO:0061108,"The progression of the seminal vesicle epithelium over time, from its formation to the mature structure."
renal glucose absorption,GO:0035623,"A renal system process in which glucose is taken up from the collecting ducts and proximal and distal loops of the nephron. In non-mammalian species, absorption may occur in related structures."
ER-nucleus signaling pathway,GO:0006984,"Any series of molecular signals that conveys information from the endoplasmic reticulum to the nucleus, usually resulting in a change in transcriptional regulation."
extracellular exosome biogenesis,GO:0097734,"The assembly and secretion of an extracellular exosome, a membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane."
polyamine transmembrane transport,GO:1902047,The process in which a polyamine macromolecule is transported across a membrane.
